Location,Date,Value
DEU,2000-01,5.539524
DEU,2000-02,5.508572
DEU,2000-03,5.333044
DEU,2000-04,5.225555
DEU,2000-05,5.378182
DEU,2000-06,5.191364
DEU,2000-07,5.266191
DEU,2000-08,5.210435
DEU,2000-09,5.263333
DEU,2000-10,5.207143
DEU,2000-11,5.153636
DEU,2000-12,4.890526
DEU,2001-01,4.803182
DEU,2001-02,4.7775
DEU,2001-03,4.667727
DEU,2001-04,4.827895
DEU,2001-05,5.046818
DEU,2001-06,5
DEU,2001-07,5.015909
DEU,2001-08,4.823913
DEU,2001-09,4.813
DEU,2001-10,4.599565
DEU,2001-11,4.447727
DEU,2001-12,4.735882
DEU,2002-01,4.862727
DEU,2002-02,4.9195
DEU,2002-03,5.161
DEU,2002-04,5.155238
DEU,2002-05,5.167727
DEU,2002-06,5.0175
DEU,2002-07,4.867391
DEU,2002-08,4.589545
DEU,2002-09,4.385238
DEU,2002-10,4.463913
DEU,2002-11,4.477619
DEU,2002-12,4.335556
DEU,2003-01,4.18
DEU,2003-02,3.955
DEU,2003-03,4.000476
DEU,2003-04,4.147
DEU,2003-05,3.815238
DEU,2003-06,3.616667
DEU,2003-07,3.972609
DEU,2003-08,4.13
DEU,2003-09,4.171364
DEU,2003-10,4.221304
DEU,2003-11,4.353
DEU,2003-12,4.291053
DEU,2004-01,4.170952
DEU,2004-02,4.11
DEU,2004-03,3.913478
DEU,2004-04,4.097
DEU,2004-05,4.253334
DEU,2004-06,4.312727
DEU,2004-07,4.236818
DEU,2004-08,4.080454
DEU,2004-09,4.016364
DEU,2004-10,3.894762
DEU,2004-11,3.780455
DEU,2004-12,3.579524
DEU,2005-01,3.564762
DEU,2005-02,3.544
DEU,2005-03,3.69619
DEU,2005-04,3.482381
DEU,2005-05,3.304091
DEU,2005-06,3.126364
DEU,2005-07,3.205714
DEU,2005-08,3.232609
DEU,2005-09,3.067727
DEU,2005-10,3.238571
DEU,2005-11,3.448182
DEU,2005-12,3.337619
DEU,2006-01,3.321364
DEU,2006-02,3.4725
DEU,2006-03,3.637391
DEU,2006-04,3.895
DEU,2006-05,3.962727
