Location,Date,Value
USA,1982-06,14.3
USA,1982-07,13.95
USA,1982-08,13.06
USA,1982-09,12.34
USA,1982-10,10.91
USA,1982-11,10.55
USA,1982-12,10.54
USA,1983-01,10.46
USA,1983-02,10.72
USA,1983-03,10.51
USA,1983-04,10.4
USA,1983-05,10.38
USA,1983-06,10.85
USA,1983-07,11.38
USA,1983-08,11.85
USA,1983-09,11.65
USA,1983-10,11.54
USA,1983-11,11.69
USA,1983-12,11.83
USA,1984-01,11.67
USA,1984-02,11.84
USA,1984-03,12.32
USA,1984-04,12.63
USA,1984-05,13.41
USA,1984-06,13.56
USA,1984-07,13.36
USA,1984-08,12.72
USA,1984-09,12.52
USA,1984-10,12.16
USA,1984-11,11.57
USA,1984-12,11.5
USA,1985-01,11.38
USA,1985-02,11.51
USA,1985-03,11.86
USA,1985-04,11.43
USA,1985-05,10.85
USA,1985-06,10.16
USA,1985-07,10.31
USA,1985-08,10.33
USA,1985-09,10.37
USA,1985-10,10.24
USA,1985-11,9.78
USA,1985-12,9.26
USA,1986-01,9.19
USA,1986-02,8.7
USA,1986-03,7.78
USA,1986-04,7.3
USA,1986-05,7.71
USA,1986-06,7.8
USA,1986-07,7.3
USA,1986-08,7.17
USA,1986-09,7.45
USA,1986-10,7.43
USA,1986-11,7.25
USA,1986-12,7.11
USA,1987-01,7.08
USA,1987-02,7.25
USA,1987-03,7.25
USA,1987-04,8.02
USA,1987-05,8.61
USA,1987-06,8.4
USA,1987-07,8.45
USA,1987-08,8.76
USA,1987-09,9.42
USA,1987-10,9.52
USA,1987-11,8.86
USA,1987-12,8.99
USA,1988-01,8.67
USA,1988-02,8.21
USA,1988-03,8.37
USA,1988-04,8.72
USA,1988-05,9.09
USA,1988-06,8.92
USA,1988-07,9.06
USA,1988-08,9.26
USA,1988-09,8.98
USA,1988-10,8.8
USA,1988-11,8.96
USA,1988-12,9.11
USA,1989-01,9.09
USA,1989-02,9.17
USA,1989-03,9.36
USA,1989-04,9.18
USA,1989-05,8.86
USA,1989-06,8.28
USA,1989-07,8.02
USA,1989-08,8.11
USA,1989-09,8.19
USA,1989-10,8.01
USA,1989-11,7.87
USA,1989-12,7.84
USA,1990-01,8.21
USA,1990-02,8.47
USA,1990-03,8.59
USA,1990-04,8.79
USA,1990-05,8.76
USA,1990-06,8.48
USA,1990-07,8.47
USA,1990-08,8.75
USA,1990-09,8.89
USA,1990-10,8.72
USA,1990-11,8.39
USA,1990-12,8.08
USA,1991-01,8.09
USA,1991-02,7.85
USA,1991-03,8.11
USA,1991-04,8.04
USA,1991-05,8.07
USA,1991-06,8.28
USA,1991-07,8.27
USA,1991-08,7.9
USA,1991-09,7.65
USA,1991-10,7.53
USA,1991-11,7.42
USA,1991-12,7.09
USA,1992-01,7.03
USA,1992-02,7.34
USA,1992-03,7.54
USA,1992-04,7.48
USA,1992-05,7.39
USA,1992-06,7.26
USA,1992-07,6.84
USA,1992-08,6.59
USA,1992-09,6.42
USA,1992-10,6.59
USA,1992-11,6.87
USA,1992-12,6.77
USA,1993-01,6.6
USA,1993-02,6.26
USA,1993-03,5.98
USA,1993-04,5.97
USA,1993-05,6.04
USA,1993-06,5.96
USA,1993-07,5.81
USA,1993-08,5.68
USA,1993-09,5.36
USA,1993-10,5.33
USA,1993-11,5.72
USA,1993-12,5.77
USA,1994-01,5.75
USA,1994-02,5.97
USA,1994-03,6.48
USA,1994-04,6.97
USA,1994-05,7.18
USA,1994-06,7.1
USA,1994-07,7.3
USA,1994-08,7.24
USA,1994-09,7.46
USA,1994-10,7.74
USA,1994-11,7.96
USA,1994-12,7.81
USA,1995-01,7.78
USA,1995-02,7.47
USA,1995-03,7.2
USA,1995-04,7.06
USA,1995-05,6.63
USA,1995-06,6.17
USA,1995-07,6.28
USA,1995-08,6.49
USA,1995-09,6.2
USA,1995-10,6.04
USA,1995-11,5.93
USA,1995-12,5.71
USA,1996-01,5.65
USA,1996-02,5.81
USA,1996-03,6.27
USA,1996-04,6.51
USA,1996-05,6.74
USA,1996-06,6.91
USA,1996-07,6.87
USA,1996-08,6.64
USA,1996-09,6.83
USA,1996-10,6.53
USA,1996-11,6.2
USA,1996-12,6.3
USA,1997-01,6.58
USA,1997-02,6.42
USA,1997-03,6.69
USA,1997-04,6.89
USA,1997-05,6.71
USA,1997-06,6.49
USA,1997-07,6.22
USA,1997-08,6.3
USA,1997-09,6.21
USA,1997-10,6.03
USA,1997-11,5.88
USA,1997-12,5.81
USA,1998-01,5.54
USA,1998-02,5.57
USA,1998-03,5.65
USA,1998-04,5.64
USA,1998-05,5.65
USA,1998-06,5.5
USA,1998-07,5.46
USA,1998-08,5.34
USA,1998-09,4.81
USA,1998-10,4.53
USA,1998-11,4.83
USA,1998-12,4.65
USA,1999-01,4.72
USA,1999-02,5
USA,1999-03,5.23
USA,1999-04,5.18
USA,1999-05,5.54
USA,1999-06,5.9
USA,1999-07,5.79
USA,1999-08,5.94
USA,1999-09,5.92
USA,1999-10,6.11
USA,1999-11,6.03
USA,1999-12,6.28
USA,2000-01,6.66
USA,2000-02,6.52
USA,2000-03,6.26
USA,2000-04,5.99
USA,2000-05,6.44
USA,2000-06,6.1
USA,2000-07,6.05
USA,2000-08,5.83
USA,2000-09,5.8
USA,2000-10,5.74
USA,2000-11,5.72
USA,2000-12,5.24
USA,2001-01,5.16
USA,2001-02,5.1
USA,2001-03,4.89
USA,2001-04,5.14
USA,2001-05,5.39
USA,2001-06,5.28
USA,2001-07,5.24
USA,2001-08,4.97
USA,2001-09,4.73
USA,2001-10,4.57
USA,2001-11,4.65
USA,2001-12,5.09
USA,2002-01,5.04
USA,2002-02,4.91
USA,2002-03,5.28
USA,2002-04,5.21
USA,2002-05,5.16
USA,2002-06,4.93
USA,2002-07,4.65
USA,2002-08,4.26
USA,2002-09,3.87
USA,2002-10,3.94
USA,2002-11,4.05
USA,2002-12,4.03
USA,2003-01,4.05
USA,2003-02,3.9
USA,2003-03,3.81
USA,2003-04,3.96
USA,2003-05,3.57
USA,2003-06,3.33
USA,2003-07,3.98
USA,2003-08,4.45
USA,2003-09,4.27
USA,2003-10,4.29
USA,2003-11,4.3
USA,2003-12,4.27
USA,2004-01,4.15
USA,2004-02,4.08
USA,2004-03,3.83
USA,2004-04,4.35
USA,2004-05,4.72
USA,2004-06,4.73
USA,2004-07,4.5
USA,2004-08,4.28
USA,2004-09,4.13
USA,2004-10,4.1
USA,2004-11,4.19
USA,2004-12,4.23
USA,2005-01,4.22
USA,2005-02,4.17
USA,2005-03,4.5
USA,2005-04,4.34
USA,2005-05,4.14
USA,2005-06,4
USA,2005-07,4.18
USA,2005-08,4.26
USA,2005-09,4.2
USA,2005-10,4.46
USA,2005-11,4.54
USA,2005-12,4.47
USA,2006-01,4.42
USA,2006-02,4.57
USA,2006-03,4.72
USA,2006-04,4.99
USA,2006-05,5.11
USA,2006-06,5.11
USA,2006-07,5.09
USA,2006-08,4.88
USA,2006-09,4.72
USA,2006-10,4.73
USA,2006-11,4.6
USA,2006-12,4.56
USA,2007-01,4.76
USA,2007-02,4.72
USA,2007-03,4.56
USA,2007-04,4.69
USA,2007-05,4.75
USA,2007-06,5.1
USA,2007-07,5
USA,2007-08,4.67
USA,2007-09,4.52
USA,2007-10,4.53
USA,2007-11,4.15
USA,2007-12,4.1
USA,2008-01,3.74
